Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
2012,Louisiana,4529605.0,821224.0,35.9,182864.0,44673.0,24264.0,18.13,4.04
2012,Maine,1329084.0,171644.0,42.8,52318.0,48219.0,26464.0,12.91,3.94
2012,Maryland,5785496.0,532116.0,37.9,246720.0,72999.0,36056.0,9.2,4.26
2012,Massachusetts,6560595.0,698286.0,39.1,305515.0,66658.0,35485.0,10.64,4.66
2012,Michigan,9897264.0,1582022.0,38.8,614849.0,48471.0,25547.0,15.98,6.21
2012,Minnesota,5313081.0,582335.0,37.4,207462.0,59126.0,30656.0,10.96,3.9
2012,Mississippi,2967620.0,640132.0,36.0,143126.0,38882.0,20670.0,21.57,4.82
2012,Missouri,5982413.0,869036.0,37.9,259574.0,47333.0,25546.0,14.53,4.34
2012,Montana,990785.0,143119.0,39.9,35541.0,45456.0,25002.0,14.45,3.59
2012,Nebraska,1827306.0,220244.0,36.3,55912.0,51381.0,26523.0,12.05,3.06
2012,Nevada,2704204.0,379197.0,36.3,166416.0,54083.0,27003.0,14.02,6.15
2012,New Hampshire,1317474.0,107800.0,41.1,48926.0,64925.0,32758.0,8.18,3.71
2012,New Jersey,8793888.0,850559.0,38.9,443328.0,71637.0,35928.0,9.67,5.04
2012,New Mexico,2055287.0,393139.0,36.6,88267.0,44886.0,23749.0,19.13,4.29
2012,New York,19398125.0,2814409.0,38.0,869729.0,57683.0,32104.0,14.51,4.48
2012,North Carolina,9544249.0,1563464.0,37.4,497589.0,46450.0,25285.0,16.38,5.21
2012,North Dakota,676253.0,78930.0,36.9,12709.0,51641.0,28700.0,11.67,1.88
2012,Ohio,11533561.0,1723485.0,38.8,569218.0,48246.0,25857.0,14.94,4.94
2012,Oklahoma,3749005.0,602598.0,36.3,122629.0,44891.0,24046.0,16.07,3.27
2012,Oregon,3836628.0,584059.0,38.4,210379.0,50036.0,26702.0,15.22,5.48
2012,Pennsylvania,12699589.0,1604464.0,40.1,548580.0,52267.0,28190.0,12.63,4.32
2012,Rhode Island,1052471.0,133462.0,39.4,53904.0,56102.0,30005.0,12.68,5.12
2012,South Carolina,4630351.0,787788.0,37.9,248835.0,44623.0,23906.0,17.01,5.37
2012,South Dakota,815871.0,108319.0,37.1,21687.0,49091.0,25570.0,13.28,2.66
