STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws
Texas,2018,0,1,1,0,0,3,4,0,4,0,5,0,0,0,18
Utah,2018,0,0,3,0,0,2,3,0,0,2,5,0,0,0,15
Vermont,2018,1,4,0,7,0,1,0,1,0,0,3,0,1,1,19
Virginia,2018,0,0,4,0,0,1,4,0,0,2,1,0,1,0,13
Washington,2018,7,3,4,11,1,4,5,0,0,0,7,0,1,0,43
West Virginia,2018,1,2,6,0,2,0,0,0,0,0,7,0,0,0,18
Wisconsin,2018,0,1,5,0,0,2,5,0,2,0,6,0,1,1,23
Wyoming,2018,0,0,1,0,0,3,0,0,0,0,0,0,0,1,5
Alabama,2019,1,0,3,0,0,0,4,0,0,0,2,0,0,0,10
Alaska,2019,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
Arizona,2019,0,0,4,0,0,1,0,0,0,0,3,0,0,0,8
Arkansas,2019,0,0,3,0,0,2,5,0,0,0,0,0,1,0,11
California,2019,14,14,8,11,5,8,6,8,9,6,18,2,1,1,111
Colorado,2019,2,0,1,9,0,2,5,1,0,2,7,0,1,0,30
Connecticut,2019,12,8,9,10,5,7,4,7,6,2,16,3,1,1,91
Delaware,2019,5,2,6,9,1,3,4,0,4,2,5,0,1,0,42
Florida,2019,2,6,2,1,1,9,3,0,3,2,1,0,0,0,30
Georgia,2019,0,0,1,0,0,1,4,0,0,0,0,0,0,0,6
Hawaii,2019,8,16,10,6,1,5,6,0,5,0,18,3,1,1,80
Idaho,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Illinois,2019,7,6,7,9,3,8,5,0,3,2,16,1,1,1,69
Indiana,2019,1,0,0,0,0,3,4,0,0,1,3,0,0,0,12
Iowa,2019,0,4,1,3,2,2,5,0,2,0,4,0,0,1,24
Kansas,2019,0,0,4,0,0,0,0,0,0,0,3,0,0,0,7
Kentucky,2019,0,0,1,0,0,1,4,0,0,0,0,0,0,0,6
Louisiana,2019,0,1,1,0,0,3,5,0,0,0,9,0,0,0,19
Maine,2019,2,0,4,0,0,1,0,0,0,0,3,0,1,0,11
Maryland,2019,7,9,7,6,3,5,5,5,7,2,11,0,1,1,69
Massachusetts,2019,14,10,8,7,6,11,5,4,11,5,17,3,1,1,103
Michigan,2019,6,3,1,3,0,2,5,0,1,0,0,0,0,0,21
Minnesota,2019,2,1,6,0,0,3,5,0,6,2,14,0,1,1,41
Mississippi,2019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
Missouri,2019,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Montana,2019,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4
Nebraska,2019,0,3,1,2,0,3,5,0,0,1,3,2,1,1,22
Nevada,2019,0,0,5,6,1,2,5,0,0,0,2,0,0,0,21
New Hampshire,2019,1,0,0,0,0,0,0,0,3,0,5,0,0,0,9
New Jersey,2019,8,10,4,7,2,9,7,6,6,1,15,3,1,1,80
New Mexico,2019,0,0,1,7,0,3,4,0,0,0,5,0,1,1,22
New York,2019,5,7,7,9,2,8,6,8,2,2,16,3,1,1,77
North Carolina,2019,1,2,1,4,0,3,5,0,4,0,10,0,0,0,30
North Dakota,2019,0,0,5,0,0,2,0,0,0,2,0,0,1,0,10
Ohio,2019,0,3,3,0,0,1,5,0,0,2,1,0,0,0,15
Oklahoma,2019,0,1,1,0,0,2,3,0,0,0,1,0,0,0,8
Oregon,2019,9,2,5,10,0,3,4,0,0,0,5,0,1,1,40
Pennsylvania,2019,10,3,5,6,0,1,5,0,1,1,7,0,0,0,39
Rhode Island,2019,8,9,3,9,2,4,3,0,4,0,10,0,1,1,54
South Carolina,2019,0,0,3,0,0,5,4,0,0,0,0,0,0,0,12
South Dakota,2019,0,0,1,0,0,0,3,0,0,0,1,0,0,0,5
Tennessee,2019,4,1,4,0,0,3,3,0,0,0,7,0,0,0,22
Texas,2019,0,1,1,0,0,3,4,0,4,0,5,0,0,0,18
Utah,2019,0,0,3,0,0,2,3,0,0,2,5,0,0,0,15
Vermont,2019,1,4,0,7,0,1,0,1,0,0,3,0,1,1,19
Virginia,2019,0,0,4,0,0,1,4,0,0,2,1,0,1,0,13
Washington,2019,7,4,4,11,1,4,5,0,5,0,7,0,1,0,49
West Virginia,2019,1,2,6,0,2,0,0,0,0,0,7,0,0,0,18
Wisconsin,2019,0,1,5,0,0,2,5,0,2,0,6,0,1,1,23
Wyoming,2019,0,0,1,0,0,3,0,0,0,0,0,0,0,1,5
