case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Texas First Baptist Church massacre,2017-11-05,2017,November,Sutherland Springs,Texas,26,20,46,Other,Mass,26.0,White,29.273282,-98.056488,Texas,2017.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,18.0,2017.0,Texas,27419612.0,4291384.0,34.3,784888.0,57051.0,28985.0,15.65,2.86
Walmart shooting in suburban Denver,2017-11-01,2017,November,Thornton,Colorado,3,0,3,Other,Mass,47.0,White,39.876374,-104.986132,Colorado,2017.0,2.0,0.0,1.0,9.0,0.0,2.0,5.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,30.0,2017.0,Colorado,5436519.0,612143.0,36.5,152856.0,65458.0,34845.0,11.26,2.81
Edgewood businees park shooting,2017-10-18,2017,October,Edgewood,Maryland,3,3,6,Workplace,Mass,37.0,Black,39.452189,-76.309988,Maryland,2017.0,7.0,9.0,7.0,6.0,3.0,3.0,5.0,5.0,7.0,2.0,8.0,0.0,1.0,1.0,64.0,2017.0,Maryland,5996079.0,566966.0,38.5,198375.0,78916.0,39070.0,9.46,3.31
Las Vegas Strip massacre,2017-10-01,2017,October,Las Vegas,Nevada,58,546,604,Other,Mass,64.0,White,36.095739,-115.171544,Nevada,2017.0,0.0,0.0,5.0,6.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,2017.0,Nevada,2887725.0,405263.0,37.7,116285.0,55434.0,28450.0,14.03,4.03
San Francisco UPS shooting,2017-06-14,2017,June,San Francisco,California,3,2,5,Workplace,Mass,38.0,Asian,37.765947,-122.406087,California,2017.0,14.0,12.0,7.0,11.0,4.0,7.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,106.0,2017.0,California,38982847.0,5773408.0,36.1,1491146.0,67169.0,33128.0,14.81,3.83
Pennsylvania supermarket shooting,2017-06-07,2017,June,Tunkhannock,Pennsylvania,3,0,3,Workplace,Mass,24.0,White,41.529546,-75.94722,Pennsylvania,2017.0,10.0,3.0,5.0,6.0,0.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,37.0,2017.0,Pennsylvania,12790505.0,1623537.0,40.7,422016.0,56951.0,31476.0,12.69,3.3
Florida awning manufacturer shooting,2017-05-06,2017,May,Orlando,Florida,5,0,5,Workplace,Mass,45.0,Unknown,28.580295,-81.294086,Florida,2017.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,21.0,2017.0,Florida,20278447.0,3070972.0,41.8,699117.0,50883.0,28774.0,15.14,3.45
Rural Ohio nursing home shooting,2017-12-05,2017,December,Kirkersville,Ohio,3,0,3,Workplace,Mass,43.0,White,39.959034,-82.596508,Ohio,2017.0,0.0,3.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,16.0,2017.0,Ohio,11609756.0,1683890.0,39.3,378735.0,52407.0,29011.0,14.5,3.26
Fresno downtown shooting,2017-04-18,2017,April,Fresno,California,3,0,3,Other,Mass,39.0,Black,36.746378,-119.800319,California,2017.0,14.0,12.0,7.0,11.0,4.0,7.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,106.0,2017.0,California,38982847.0,5773408.0,36.1,1491146.0,67169.0,33128.0,14.81,3.83
Fort Lauderdale airport shooting,2017-06-01,2017,June,Fort Lauderdale,Florida,5,6,11,Other,Mass,26.0,Latino,26.072751,-80.14338199999997,Florida,2017.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,21.0,2017.0,Florida,20278447.0,3070972.0,41.8,699117.0,50883.0,28774.0,15.14,3.45
